The lower lip definitely states that all actors are cattle—including the authorǃ,"Handwritten note accompanying Hitchcock's sketched self-portrait; as seen in—and addressed to the author of—""Melodrama Maestro"" by Hume Cronyn, in McClean's (1 November 1944)."
"Actors are cattle. I've always said actors are cattle. In fact, Carole Lombard once built a corral on set and put three live calves into it, in recognition of my feelings. I tell them that, and treat them as such, and we get along fineǃ","As quoted in ""New York Close-Up"" by Tex McCrary and Jinx Falkenburg, in New York Herald Tribune (27 February 1950)."
"Deep inside, I am a shy man. And in the presence of colorful characters, I am a clam. I never try to out-eccentric the eccentricsǃ","As quoted in ""New York Close-Up""."
"I am a typed director. If I made Cinderella, the audience would immediately be looking for a body in the coach.",Newsweek (11 June 1956).
Drama is life with the dull bits cut out.,"Picture Parade, BBC (5 July 1960)"
The Birds could be the most terrifying motion picture I have ever made.,Movie trailer for the 1960s film The Birds.
"I’m frightened of eggs, worse than frightened, they revolt me. That white round thing without any holes … have you ever seen anything more revolting than an egg yolk breaking and spilling its yellow liquid? Blood is jolly, red. But egg yolk is yellow, revolting. I’ve never tasted it.",News summaries (31 December 1963).
We do not recommend suicide as a way of life.,Alfred Hitchcock Presents. 1965.
Television is like the invention of indoor plumbing. It didn't change people’s habits. It just kept them inside the house.,NY Journal-American (25 August 1965).
"One of television's great contributions is that it brought murder back into the home, where it belongs.",National Observer (15 August 1966).
"Seeing a murder on television can … help work off one’s antagonisms. And if you haven’t any antagonisms, the commercials will give you some.",National Observer (15 August 1966).
"Dialogue should simply be a sound among other sounds, just something that comes out of the mouths of people whose eyes tell the story in visual terms.",As quoted in Hitchcock (1967) by François Truffaut.
Puns are the highest form of literature.,Dick Cavett Show (8 June 1972).
Give them pleasure – the same pleasure they have when they wake up from a nightmare.,"On audiences, Asbury Park NJ Press (13 August 1974)."
Self-plagiarism is style.,"Defending his repetition of filming techniques, in The Observer [London], (8 Aug. 1976)."
Blondes make the best victims. They're like virgin snow that shows up the bloody footprints.,Interview on CBS TV (20 February 1977).
[This award is] meaningful because it comes from my fellow dealers in celluloid.,"On receiving American Film Institute's 1979 Lifetime Achievement Award, recalled on his death (29 Apr. 1980)."
I’m not against the police; I'm just afraid of them.,"As quoted in Hitchcock (revised edition 1985) by François Truffaut, p. 109."
"In the documentary the basic material has been created by God, whereas in the fiction film the director is a God; he must create life.","As quoted in Hitchcock (revised edition 1984) by François Truffaut with the collaboration of Helen G. Scott, p. 102."
The silent pictures were the purest form of cinema.,As quoted in Hitchcock (1967) by François Truffaut
"There is no terror in the bang, only in the anticipation of it.",Attributed to Hitchcock in Halliwell's Filmgoer's Companion (1984).
"A good film is when the price of the dinner, the theatre admission and the babysitter were worth it.",
The length of a film should be directly related to the endurance of the human bladder.,
"For me, the cinema is not a slice of life, but a piece of cake.",
"The more successful the villain, the more successful the picture.",
"Man does not live by murder alone. He needs affection, approval, encouragement and, occasionally, a hearty meal.",
Give them pleasure the same pleasure they have when they wake up from a nightmare.,
The only way to get rid of my fears is to make films about them.,
Ideas come from everything.,
The paperback is very interesting but I find it will never replace the hardcover book – it makes a very poor doorstop.,
"Really, the novelist has the best casting since he doesn’t have to cope with the actors and all the rest.",
"If it’s a good movie, the sound could go off and the audience would still have a perfectly clear idea of what was going on.",
"Suspense is like a woman. The more left to the imagination, the more the excitement.",
The ideal husband understands every word his wife doesn’t say.,
"There’s nothing to winning, really. That is, if you happen to be blessed with a keen eye, an agile mind, and no scruples whatsoever.",
I have a perfect cure for a sore throat: cut it.,
"Television has done much for psychiatry by spreading information about it, as well as contributing to the need for it.",
"To make a great film you need three things – the script, the script and the script.",
Television is like the invention of indoor plumbing. It didn’t change people’s habits. It just kept them inside the house.,
A glimpse into the world proves that horror is nothing other than reality.,
"I have a feeling that inside you somewhere, there’s somebody nobody knows about.",
"When we think we have been hurt by someone in the past, we build up defenses to protect ourselves from being hurt in the future. So the fearful past causes a fearful future and the past and future become one.",
"Luck is everything. My good luck in life was to be a really frightened person. I’m fortunate to be a coward, to have a low threshold of fear, because a hero couldn’t make a good suspense film.",
"There is no terror in the bang, only in the anticipation of it.",
Give them pleasure. The same pleasure they have when they wake up from a nightmare.,
"If I won't be myself, who will?",
Always make the audience suffer as much as possible.,
I have a perfect cure for a sore throat: cut it.,
"I'm a writer and, therefore, automatically a suspicious character.",
Revenge is sweet and not fattening.,
"Seeing a murder on television... can help work off one's antagonisms. And if you haven't any antagonisms, the commercials will give you some.",
I can't read fiction without visualizing every scene. The result is it becomes a series of pictures rather than a book.,
The paperback is very interesting but I find it will never replace the hardcover book -- it makes a very poor doorstop.,
"“I'm a typed director. If I made Cinderella, the audience would immediately be looking for a body in the coach.",
In feature films the director is God; in documentary films God is the director.,
"I'm sure anyone who likes a good crime, provided it is not the victim.",
The picture's over. Now I have to go and put it on film.,
"Really, the novelist has the best casting since he doesn't have to cope with the actors and all the rest.",
When we tell a story in cinema we should resort to dialogue only when it's impossible to do otherwise. ,
" I always try to tell a story in the cinematic way, through a succession of shots and bits of film in between.",
"I understand that the inventor of the bagpipes was inspired when he saw a man carrying an indignant, astatic pig under his arm. Unfortunately, the man-made sound never equaled the purity of sound achieved by the pig",
"If you can't do it naturally, then fake it.",
I never said actors are cattle; what I said was all actors should be treated like cattle.,
"I have never known birds of different species to flock together. The very concept is unimaginable. Why, if that happened, we wouldn't stand a chance! How could we possibly hope to fight them?",
"The more successful the villain, the more successful the picture.",
The only way to get rid of my fears is to make films about them.,
